,Courses,Classes
1234," ECON 3010 Intermediate Microeconomics
","10124 104Discussion (0)Wait List (4 / 199)  30 / 30StaffTh 6:00pm - 6:50pmWilson Hall 214
"
1235," ECON 3010 Intermediate Microeconomics
","10616 105Discussion (0)Wait List (4 / 199)  30 / 30StaffTh 7:00pm - 7:50pmWilson Hall 214
"
1236," ECON 3010 Intermediate Microeconomics
","10617 106Discussion (0)Open, WL (2 / 199)  19 / 30StaffTh 8:00pm - 8:50pmWilson Hall 214
"
1237," ECON 3010 Intermediate Microeconomics
","13306 200Lecture (4)Open, WL (4 / 199)  76 / 85Peter TroyanTuTh 9:30am - 10:45amMonroe Hall 130
"
1238," ECON 3010 Intermediate Microeconomics
","13307 201Lecture (4)Wait List (6 / 199)  85 / 85Peter TroyanTuTh 11:00am - 12:15pmMonroe Hall 130
"
1239," ECON 3010 Intermediate Microeconomics
","13308 202Discussion (0)Wait List (0 / 199)  30 / 30StaffFr 10:00am - 10:50amMaury Hall 110
"
1240," ECON 3010 Intermediate Microeconomics
","13309 203Discussion (0)Wait List (5 / 199)  29 / 30StaffFr 11:00am - 11:50amMaury Hall 110
"
1241," ECON 3010 Intermediate Microeconomics
","13310 204Discussion (0)Wait List (1 / 199)  30 / 30StaffFr 9:00am - 9:50amMaury Hall 110
"
1242," ECON 3010 Intermediate Microeconomics
","13311 205Discussion (0)Open  12 / 30StaffFr 8:00am - 8:50amMaury Hall 110
"
1243," ECON 3010 Intermediate Microeconomics
","13312 206Discussion (0)Wait List (2 / 199)  30 / 30StaffFr 1:00pm - 1:50pmMaury Hall 110
"
1244," ECON 3010 Intermediate Microeconomics
","13313 207Discussion (0)Wait List (3 / 199)  30 / 30StaffFr 12:00pm - 12:50pmMaury Hall 110
"
1245," ECON 3020 Intermediate Macroeconomics
","12447 400Lecture (3)Wait List (24 / 199)  99 / 95Maria WesterfieldTuTh 12:30pm - 1:45pmWilson Hall 301
"
1246," ECON 3020 Intermediate Macroeconomics
","18915 500Lecture (3)Wait List (11 / 199)  99 / 95Maria WesterfieldTuTh 3:30pm - 4:45pmWilson Hall 301
"
1247," ECON 3020 Intermediate Macroeconomics
","18919 600Lecture (3)Open  85 / 100Maria WesterfieldTuTh 5:00pm - 6:15pmWilson Hall 301
"
1248," ECON 3020 Intermediate Macroeconomics
","12448 701Discussion (0)Wait List (10 / 199) 27 / 26Seunghyeon LeeTu 5:00pm - 5:50pmNew Cabell Hall 232
"
1249," ECON 3020 Intermediate Macroeconomics
","12449 702Discussion (0)Wait List (4 / 199) 26 / 26Seunghyeon LeeTu 6:00pm - 6:50pmNew Cabell Hall 232
"
1250," ECON 3020 Intermediate Macroeconomics
","12450 703Discussion (0)Open, WL (2 / 199) 25 / 26Jiafeng WuTu 7:00pm - 7:50pmMonroe Hall 118
"
1251," ECON 3020 Intermediate Macroeconomics
","20058 704Discussion (0)Wait List (2 / 199) 25 / 26Gizem KutluWe 6:00pm - 6:50pmPhysics Bldg 218
"
1252," ECON 3020 Intermediate Macroeconomics
","20059 705Discussion (0)Open, WL (4 / 199) 23 / 26Gizem KutluWe 7:00pm - 7:50pmPhysics Bldg 218
"
1253," ECON 3020 Intermediate Macroeconomics
","20060 706Discussion (0)Open, WL (2 / 199) 9 / 26Tingrui FengWe 8:00pm - 8:50pmPhysics Bldg 218
"
1254," ECON 3020 Intermediate Macroeconomics
","18916 707Discussion (0)Wait List (3 / 199) 26 / 26Jiafeng WuTu 6:00pm - 6:50pmMonroe Hall 116
"
1255," ECON 3020 Intermediate Macroeconomics
","18917 708Discussion (0)Wait List (0 / 199) 27 / 26Joaquin SaldainTu 7:00pm - 7:50pmMonroe Hall 111
"
1256," ECON 3020 Intermediate Macroeconomics
","18918 709Discussion (0)Open, WL (2 / 199) 18 / 26Joaquin SaldainTu 8:00pm - 8:50pmMonroe Hall 111
"
1257," ECON 3020 Intermediate Macroeconomics
","18920 710Discussion (0)Open, WL (1 / 199) 25 / 26Yan ChenWe 5:00pm - 5:50pmNew Cabell Hall 232
"
1258," ECON 3020 Intermediate Macroeconomics
","18921 711Discussion (0)Wait List (1 / 199) 26 / 26Yan ChenWe 6:00pm - 6:50pmNew Cabell Hall 232
"
1259," ECON 3020 Intermediate Macroeconomics
","18922 712Discussion (0)Wait List (1 / 199) 26 / 26Tingrui FengWe 7:00pm - 7:50pmNew Cabell Hall 232
"
1260," ECON 3030 Money and Banking
","11584 100Lecture (3)Wait List (40 / 199) 75 / 75Carter DoyleMoWe 3:30pm - 4:20pmClark Hall 107
"
1261," ECON 3030 Money and Banking
","13315 110Discussion (0)Wait List (13 / 199) 27 / 26Jaeho LeeWe 5:00pm - 5:50pmNew Cabell Hall 323
"
1262," ECON 3030 Money and Banking
","13316 111Discussion (0)Open, WL (13 / 199) 25 / 26Jaeho LeeWe 6:00pm - 6:50pmNew Cabell Hall 323
"
1263," ECON 3030 Money and Banking
","13317 112Discussion (0)Open, WL (14 / 199) 23 / 26Jaeho LeeWe 7:00pm - 7:50pmNew Cabell Hall 323
"
1264," ECON 3030 Money and Banking
","18923 200Lecture (3)Wait List (15 / 199) 40 / 40Zachary BethuneTuTh 3:30pm - 4:45pmMonroe Hall 118
"
1265," ECON 3030 Money and Banking
","18924 201Discussion (0)Wait List (7 / 199) 26 / 26Dengli YangTh 5:00pm - 5:50pmNew Cabell Hall 309
"
1266," ECON 3030 Money and Banking
","18925 202Discussion (0)Open, WL (8 / 199) 14 / 26Dengli YangTh 6:00pm - 6:50pmNew Cabell Hall 309
"
1267," ECON 3050 The Economics of Welfare Reform
","13318 001Lecture (3)Permission 35 / 36Edgar OlsenMoWe 2:00pm - 3:15pmMonroe Hall 118
"
1268," ECON 3050 The Economics of Welfare Reform
","13319 002Lecture (3)Permission 35 / 36Edgar OlsenMoWe 5:00pm - 6:15pmMonroe Hall 118
"
1269," ECON 3630 Economics of the Middle East
","19589 001Lecture (3)Wait List (36 / 199) 60 / 60Julia DevlinTuTh 3:30pm - 4:45pmMcLeod Hall 2007
"
1270," ECON 3630 Economics of the Middle East
","13814 002Lecture (3)Wait List (35 / 199) 65 / 65Julia DevlinMoWe 3:30pm - 4:45pmMonroe Hall 124
"
1271," ECON 3720 Introduction to Econometrics
","10129 099Lecture (4)Wait List (4 / 199)  66 / 68Ronald MichenerTuTh 12:30pm - 1:45pmMonroe Hall 124
"
1272," ECON 3720 Introduction to Econometrics
","13320 100Lecture (4)Open  50 / 68Ronald MichenerTuTh 2:00pm - 3:15pmMonroe Hall 124
"
1273," ECON 3720 Introduction to Econometrics
","10132 101Discussion (0)Wait List (2 / 199)  17 / 17Yooseon HwangTh 6:00pm - 6:50pmNew Cabell Hall 268
"
1274," ECON 3720 Introduction to Econometrics
","10131 102Discussion (0)Wait List (2 / 199)  15 / 17Yooseon HwangTh 7:00pm - 7:50pmNew Cabell Hall 068
"
1275," ECON 3720 Introduction to Econometrics
","10130 103Discussion (0)Open, WL (1 / 199)  13 / 17Yooseon HwangTh 8:00pm - 8:50pmNew Cabell Hall 068
"
1276," ECON 3720 Introduction to Econometrics
","12694 104Discussion (0)Wait List (3 / 199)  17 / 17StaffTh 5:00pm - 5:50pmNew Cabell Hall 268
"
1277," ECON 3720 Introduction to Econometrics
","12695 105Discussion (0)Open  9 / 17StaffFr 9:00am - 9:50amMechanical Engr Bldg 214
"
1278," ECON 3720 Introduction to Econometrics
","12912 106Discussion (0)Open  15 / 17Taheya TarannumFr 10:00am - 10:50amMechanical Engr Bldg 214
"
1279," ECON 3720 Introduction to Econometrics
","13321 107Discussion (0)Open  13 / 17Taheya TarannumFr 11:00am - 11:50amMechanical Engr Bldg 214
"
1280," ECON 3720 Introduction to Econometrics
","13322 108Discussion (0)Wait List (0 / 199)  17 / 17Taheya TarannumFr 12:00pm - 12:50pmMechanical Engr Bldg 214
"
1281," ECON 3720 Introduction to Econometrics
","12003 300Lecture (4)Wait List (36 / 199)  84 / 80Karim ChalakMoWe 3:30pm - 4:45pmMonroe Hall 130
"
1282," ECON 3720 Introduction to Econometrics
","11782 301Discussion (0)Wait List (9 / 199)  33 / 29Yiyu XingWe 6:00pm - 6:50pmNew Cabell Hall 032
"
1283," ECON 3720 Introduction to Econometrics
","11628 302Discussion (0)Wait List (5 / 199)  29 / 29William ChenaultWe 7:00pm - 7:50pmNew Cabell Hall 032
"
1284," ECON 3720 Introduction to Econometrics
","11741 303Discussion (0)Open, WL (14 / 199)  28 / 29William ChenaultWe 8:00pm - 8:50pmNew Cabell Hall 032
"
1285," ECON 3720 Introduction to Econometrics
","12869 500Lecture (4)Wait List (23 / 199)  82 / 80Karim ChalakMoWe 5:00pm - 6:15pmMonroe Hall 130
"
1286," ECON 3720 Introduction to Econometrics
","12696 501Discussion (0)Wait List (7 / 199)  30 / 29StaffTh 6:00pm - 6:50pmWilson Hall 238
"
1287," ECON 3720 Introduction to Econometrics
","12697 502Discussion (0)Open, WL (13 / 199)  28 / 29StaffTh 7:00pm - 7:50pmWilson Hall 238
"
1288," ECON 3720 Introduction to Econometrics
","12698 503Discussion (0)Open, WL (8 / 199)  18 / 29Yiyu XingTh 8:00pm - 8:50pmWilson Hall 238
"
1289," ECON 4020 Auction Theory and Practice
","18936 001Lecture (3)Wait List (9 / 199) 28 / 30Gaurab AryalTuTh 12:30pm - 1:45pmWilson Hall 238
"
1290," ECON 4110 Competitive Strategy
","19850 001Lecture (3)Open, WL (7 / 199)  55 / 60Michael MooreMoWe 5:00pm - 7:30pmMaury Hall 115
"
1291," ECON 4170 The Economics of Risk, Uncertainty, and Information
","13323 001Lecture (3)Wait List (25 / 199) 57 / 55Marc Santugini RepiquetTuTh 9:30am - 10:45amMonroe Hall 124
"
1292," ECON 4170 The Economics of Risk, Uncertainty, and Information
","13324 002Lecture (3)Wait List (31 / 199) 56 / 55Marc Santugini RepiquetTuTh 2:00pm - 3:15pmNau Hall 211
"
1293," ECON 4170 The Economics of Risk, Uncertainty, and Information
","19972 101Discussion (0)Wait List (21 / 199)21 / 20Yutong ChenTh 6:00pm - 6:50pmDell 2 101
"
1294," ECON 4170 The Economics of Risk, Uncertainty, and Information
","19974 102Discussion (0)Open, WL (5 / 199)17 / 20Yutong ChenTh 7:00pm - 7:50pmDell 2 101
"
1295," ECON 4170 The Economics of Risk, Uncertainty, and Information
","19975 103Discussion (0)Open, WL (5 / 199)17 / 20Yutong ChenTh 8:00pm - 8:50pmDell 2 101
"
1296," ECON 4170 The Economics of Risk, Uncertainty, and Information
","19977 104Discussion (0)Wait List (5 / 199)20 / 20Hanna CharankevichFr 1:00pm - 1:50pmMonroe Hall 111
"
1297," ECON 4170 The Economics of Risk, Uncertainty, and Information
","19983 105Discussion (0)Open, WL (2 / 199)18 / 20Hanna CharankevichFr 2:00pm - 2:50pmMonroe Hall 111
"
1298," ECON 4170 The Economics of Risk, Uncertainty, and Information
","20099 106Discussion (0)Wait List (6 / 199)20 / 20Hanna CharankevichFr 12:00pm - 12:50pmMonroe Hall 111
"
1299," ECON 4195 Empirical Industrial Organization
","12702 001Lecture (3)Wait List (18 / 199)  21 / 20Federico Ciliberto+1TuTh 9:30am - 10:45amMonroe Hall 114
"
1300," ECON 4220 International Finance and Macroeconomics
","11456 001Lecture (3)Wait List (21 / 199) 70 / 70Eric Van WincoopTuTh 12:30pm - 1:45pmMonroe Hall 130
"
1301," ECON 4230 Seminar on Trade and Development
","18942 001Lecture (3)Open, WL (2 / 199)16 / 20John MclarenTuTh 11:00am - 12:15pmMonroe Hall 114
"
1302," ECON 4350 Corporate Finance
","13652 100Lecture (3)Wait List (5 / 199) 74 / 75Christopher McgeeMoWe 8:30am - 9:45amRuffner Hall G004
"
1303," ECON 4350 Corporate Finance
","19499 101Discussion (0)Wait List (4 / 199) 24 / 25Tyler WakeWe 6:00pm - 6:50pmDell 2 102
"
1304," ECON 4350 Corporate Finance
","19500 102Discussion (0)Wait List (1 / 199) 25 / 25Tyler WakeWe 7:00pm - 7:50pmDell 2 102
"
1305," ECON 4350 Corporate Finance
","19501 103Discussion (0)Wait List (0 / 199) 25 / 25Tyler WakeWe 8:00pm - 8:50pmDell 2 102
"
1306," ECON 4360 Empirical Finance
","11498 001Lecture (3)Permission 20 / 25Steven PetersonMoWe 8:30am - 9:45amMonroe Hall 111
"
1307," ECON 4365 Global Financial Markets
","18944 090Lecture (3)Wait List (21 / 199)  49 / 49Ana FostelTuTh 9:30am - 10:45amMonroe Hall 116
"
1308," ECON 4365 Global Financial Markets
","18946 091Lecture (3)Wait List (22 / 199)  49 / 49Ana FostelTuTh 11:00am - 12:15pmMonroe Hall 116
"
1309," ECON 4365 Global Financial Markets
","18945 101Discussion (0)Wait List (17 / 199)  34 / 34Diego Legal CanisaFr 11:00am - 11:50amNew Cabell Hall 323
"
1310," ECON 4365 Global Financial Markets
","18947 102Discussion (0)Open, WL (11 / 199)  31 / 34Diego Legal CanisaFr 12:00pm - 12:50pmNew Cabell Hall 323
"
1311," ECON 4365 Global Financial Markets
","18949 103Discussion (0)Wait List (12 / 199)  34 / 34Diego Legal CanisaFr 1:00pm - 1:50pmNew Cabell Hall 323
"
1312," ECON 4370 Behavioral Finance
","10133 100Lecture (3)Open 198 / 220Edwin BurtonTuTh 9:30am - 10:45amMaury Hall 209
"
1313," ECON 4440 Economic Inequality
","18950 100Lecture (3)Open  33 / 55James HarriganTuTh 11:00am - 12:15pmMonroe Hall 124
"
1314," ECON 4440 Economic Inequality
","18951 101Discussion (0)Open  14 / 21Ishita GambhirFr 9:00am - 9:50amNew Cabell Hall 364
"
1315," ECON 4440 Economic Inequality
","18952 102Discussion (0)Open  19 / 21Ishita GambhirFr 10:00am - 10:50amNew Cabell Hall 364
"
1316," ECON 4444 Artificial Intelligence and the Future of Work
","19851 001Lecture (3)Permission 60 / 60Anton KorinekMoWe 2:00pm - 3:15pmGilmer Hall 130
"
1317," ECON 4444 Artificial Intelligence and the Future of Work
","20018 101Discussion (0)Permission 22 / 20Miguel MascaruaWe 5:00pm - 5:50pmNew Cabell Hall 058
"
1318," ECON 4444 Artificial Intelligence and the Future of Work
","20019 102Discussion (0)Permission 20 / 20Miguel MascaruaWe 6:00pm - 6:50pmNew Cabell Hall 058
"
1319," ECON 4444 Artificial Intelligence and the Future of Work
","20020 103Discussion (0)Permission 18 / 20Miguel MascaruaWe 7:00pm - 7:50pmNew Cabell Hall 058
"
1320," ECON 4559 New Course in Economics
","19824 002Lecture (3)Permission9 / 9Sarah TurnerTu 8:00am - 11:00amContact Department
"
1321," ECON 4559 New Course in Economics
","19691 100Lecture (3)Open, WL (1 / 199) 33 / 40John MclarenTuTh 2:00pm - 3:15pmMonroe Hall 116
"
1322," ECON 4559 New Course in Economics
","19716 101Discussion (0)Open, WL (1 / 199)14 / 20StaffFr 9:00am - 9:50amWilson Hall 244
"
1323," ECON 4559 New Course in Economics
","19717 102Discussion (0)Open, WL (1 / 199)19 / 20StaffFr 10:00am - 10:50amWilson Hall 244
"
1324," ECON 4610 Economic Development
","12285 100Lecture (3)Open 35 / 50Shan Aman-RanaMoWe 8:30am - 9:45amMonroe Hall 130
"
1325," ECON 4610 Economic Development
","12286 101Discussion (0)Wait List (0 / 199) 25 / 25Divya PandeyWe 5:00pm - 5:50pmNew Cabell Hall 389
"
1326," ECON 4610 Economic Development
","12287 102Discussion (0)Open 10 / 25Divya PandeyWe 6:00pm - 6:50pmNew Cabell Hall 364
"
1327," ECON 4620 Seminar on Development Economics
","18956 001Lecture (3)Wait List (17 / 199) 18 / 18Sheetal SekhriTuTh 11:00am - 12:15pmNew Cabell Hall 209
"
1328," ECON 4720 Econometric Methods
","13325 100Lecture (3)Open 22 / 40Lidia KosenkovaMoWe 8:30am - 9:45amMonroe Hall 116
"
1329," ECON 4720 Econometric Methods
","13326 101Discussion (0)Open 4 / 25Emily CookFr 8:00am - 8:50amWilson Hall 238
"
1330," ECON 4720 Econometric Methods
","13327 102Discussion (0)Open 18 / 25Emily CookFr 9:00am - 9:50amWilson Hall 238
"
1331," ECON 4730 Markets, Mechanisms, and Machines
","19914 001Lecture (3)Wait List (9 / 199)  20 / 40David Evans+1TuTh 9:30am - 10:45amMechanical Engr Bldg 213
"
1332," ECON 4880 Seminar in Policy Analysis
","10134 001Lecture (3)Permission7 / 12Christopher RuhmMoWe 2:00pm - 3:15pmMemorial Gymnasium 213
"
1333," ECON 4993 Independent Study
","19875 001IND (1)Permission0 / 30Carter DoyleTBATBA
"
1334," ECON 4993 Independent Study
","11627 003IND (1 - 3)Permission2 / 2Kenneth ElzingaTBATBA
"
1335," ECON 4993 Independent Study
","13977 004IND (1 - 3)Permission0 / 2John MclarenTBATBA
"
1336," ECON 4999 Distinguished Majors Thesis
","11222 001IND (1 - 3)Permission1 / 2Amalia MillerTBATBA
"
1337," ECON 4999 Distinguished Majors Thesis
","13751 003IND (1 - 3)Open0 / 2Jonathan ColmerTBATBA
"
1338," ECON 4999 Distinguished Majors Thesis
","11223 005IND (1 - 3)Permission1 / 2John PepperTBATBA
"
1339," ECON 4999 Distinguished Majors Thesis
","11224 008IND (1 - 3)Permission0 / 2Kenneth ElzingaTBATBA
"
1340," ECON 4999 Distinguished Majors Thesis
","11518 017IND (1 - 3)Permission0 / 2Kerem CosarTBATBA
"
1341," ECON 4999 Distinguished Majors Thesis
","11743 022IND (1 - 3)Permission1 / 2Leora FriedbergTBATBA
"
1342," ECON 4999 Distinguished Majors Thesis
","13765 033IND (1 - 3)Open1 / 5Federico CilibertoTBATBA
"
1343," ECON 4999 Distinguished Majors Thesis
","18957 034IND (1 - 3)Open1 / 5Gaurab AryalTBATBA
"
1344," ECON 4999 Distinguished Majors Thesis
","18958 035IND (1 - 3)Open0 / 5Edgar OlsenTBATBA
"
1345," ECON 4999 Distinguished Majors Thesis
","18959 036IND (1 - 3)Open0 / 5Sheetal SekhriTBATBA
"
1346," ECON 4999 Distinguished Majors Thesis
","18960 037IND (1 - 3)Open1 / 5Sarah TurnerTBATBA
"
1347," ECON 5559 New Course in Economics
","19644 001Lecture (1)Permission 10 / 14Michael MooreMoWe 2:00pm - 3:15pmNew Cabell Hall 038
"
1348," ECON 7030 Microeconomic Theory II
","11525 100Lecture (4)Open19 / 30Simon AndersonTuTh 11:00am - 12:15pmWilson Hall 238
"
1349," ECON 7030 Microeconomic Theory II
","11526 101Discussion (0)Open19 / 30StaffFr 10:00am - 10:50amMonroe Hall 116
"
1350," ECON 7040 Macroeconomic Theory II
","10135 100Lecture (4)Open19 / 30Eric Leeper+1MoWe 8:30am - 9:45amWilson Hall 238
"
1351," ECON 7040 Macroeconomic Theory II
","11517 101Discussion (0)Open19 / 30Yong Hoon ChoFr 2:00pm - 2:50pmWilson Hall 238
"
1352," ECON 7720 Econometrics II
","10136 100Lecture (4)Open19 / 30John PepperTuTh 9:30am - 10:45amWilson Hall 238
"
1353," ECON 7720 Econometrics II
","10137 101Discussion (0)Open19 / 30Yi PingFr 12:00pm - 12:50pmBryan Hall 328
"
1354," ECON 8010 Microeconomic Theory III
","11786 100Lecture (4)Open19 / 30Maxim EngersTuTh 2:00pm - 3:15pmWilson Hall 238
"
1355," ECON 8010 Microeconomic Theory III
","18961 101Discussion (0)Open19 / 30Moonju ChoFr 1:00pm - 1:50pmWilson Hall 238
"
1356," ECON 8150 Economics of Labor Markets
","18962 001Lecture (3)Open9 / 12John JonesFr 12:30pm - 3:00pmDell 1 104
"
1357," ECON 8180 Industrial Organization II
","10138 001Lecture (3)Open9 / 13Federico Ciliberto+1TuTh 11:00am - 12:15pmNew Cabell Hall 068
"
1358," ECON 8190 Economics of Underdeveloped Areas
","12289 001Lecture (3)Open9 / 13Sheetal SekhriTuTh 2:00pm - 3:15pmMonroe Hall 114
"
1359," ECON 8220 International Finance
","10139 001Lecture (3)Open5 / 13Eric Van WincoopTuTh 9:30am - 10:45amNew Cabell Hall 066
"
1360," ECON 8230 Advanced Topics in International Trade
","11389 001SEM (3)Open7 / 13Kerem CosarTuTh 12:30pm - 1:45pmMonroe Hall 114
"
1361," ECON 8310 Public Economics I
","19631 001Lecture (3)Open5 / 18Leora FriedbergMoWe 8:30am - 9:45amMonroe Hall 114
"
1362," ECON 8360 Empirical Macroeconomics
","19653 100Lecture (3)Open5 / 13Eric Leeper+1MoWe 12:00pm - 12:50pmMonroe Hall 114
"
1363," ECON 8360 Empirical Macroeconomics
","10615 101Discussion (0)Open5 / 13StaffMo 11:00am - 11:50amMonroe Hall 114
"
1364," ECON 8420 Macroeconomics Workshop
","11527 001Lecture (3)Open6 / 18Zachary BethuneWe 3:30pm - 6:00pmNew Cabell Hall 068
"
1365," ECON 8440 International Trade and Development Workshop
","12850 001Lecture (3)Open4 / 10Kerem CosarWe 3:30pm - 6:00pmMonroe Hall 113
"
1366," ECON 8460 Econometrics Workshop
","10140 001Lecture (3)Open0 / 18Karim Chalak+1Tu 3:30pm - 6:00pmMonroe Hall 116
"
1367," ECON 8720 Time Series Econometrics
","19654 100Lecture (3)Open11 / 13Leland FarmerMoWe 10:00am - 10:50amMonroe Hall 114
"
1368," ECON 8720 Time Series Econometrics
","12004 101Discussion (0)Open11 / 13Leland FarmerWe 11:00am - 11:50amMonroe Hall 114
"
1369," ECON 8991 Research Methods in Economics
","10618 001SEM (3)Open13 / 15Zachary BethuneTuTh 11:00am - 12:15pmNew Cabell Hall 042
"
1370," ECON 8995 Supervised Study
","20323 001IND (1 - 12)Permission2 / 2Eric LeeperTBATBA
"
1371," ECON 8998 Non-Topical Research, Preparation for Research
","10141 001IND (1 - 12)Open0 / 40Amalia MillerTBATBA
"
1372," ECON 8999 Non-Topical Research
","10142 001IND (1 - 12)Open0 / 40Amalia MillerTBATBA
"
1373," ECON 9998 Non-Topical Research, Preparation for Doctoral Research
","10143 001IND (1 - 12)Open2 / 40Sheetal SekhriTBATBA
"
1374," ECON 9999 Non-Topical Research
","10144 001IND (1 - 12)Open2 / 60Simon AndersonTBATBA
"
1375," ECON 9999 Non-Topical Research
","11149 003IND (1 - 12)Open2 / 30Federico CilibertoTBATBA
"
1376," ECON 9999 Non-Topical Research
","11150 004IND (1 - 12)Open0 / 30Maxim EngersTBATBA
"
1377," ECON 9999 Non-Topical Research
","11151 005IND (1 - 12)Open9 / 30Leora FriedbergTBATBA
"
1378," ECON 9999 Non-Topical Research
","11152 006IND (1 - 12)Open1 / 30Zachary BethuneTBATBA
"
1379," ECON 9999 Non-Topical Research
","11153 008IND (1 - 12)Open1 / 30Charles HoltTBATBA
"
1380," ECON 9999 Non-Topical Research
","11154 009IND (1 - 12)Open 0 / 30William JohnsonTBATBA
"
1381," ECON 9999 Non-Topical Research
","11155 010IND (1 - 12)Open0 / 30Karim ChalakTBATBA
"
1382," ECON 9999 Non-Topical Research
","11156 011IND (1 - 12)Open0 / 30Ana FostelTBATBA
"
1383," ECON 9999 Non-Topical Research
","11157 012IND (1 - 12)Open0 / 30John MclarenTBATBA
"
1384," ECON 9999 Non-Topical Research
","11158 013IND (1 - 12)Open 1 / 30Anton KorinekTBATBA
"
1385," ECON 9999 Non-Topical Research
","11159 015IND (1 - 12)Open4 / 30Eric LeeperTBATBA
"
1386," ECON 9999 Non-Topical Research
","11160 016IND (1 - 12)Open0 / 30Edgar OlsenTBATBA
"
1387," ECON 9999 Non-Topical Research
","11161 017IND (1 - 12)Open 0 / 30James HarriganTBATBA
"
1388," ECON 9999 Non-Topical Research
","11163 018IND (1 - 12)Open0 / 30John PepperTBATBA
"
1389," ECON 9999 Non-Topical Research
","11164 020IND (1 - 12)Open2 / 30Sarah TurnerTBATBA
"
1390," ECON 9999 Non-Topical Research
","11165 021IND (1 - 12)Open3 / 30Eric Van WincoopTBATBA
"
1391," ECON 9999 Non-Topical Research
","11166 022IND (1 - 12)Open7 / 30Eric YoungTBATBA
"
1392," ECON 9999 Non-Topical Research
","11420 023IND (1 - 12)Open0 / 30Andrew KloostermanTBATBA
"
1393," ECON 9999 Non-Topical Research
","11731 025IND (1 - 12)Open1 / 30Amalia MillerTBATBA
"
1394," ECON 9999 Non-Topical Research
","12213 026IND (1 - 12)Open0 / 30Denis NekipelovTBATBA
"
1395," ECON 9999 Non-Topical Research
","12214 027IND (1 - 12)Open1 / 30Lee LockwoodTBATBA
"
1396," ECON 9999 Non-Topical Research
","12215 028IND (1 - 12)Open0 / 30Peter TroyanTBATBA
"
1397," ECON 9999 Non-Topical Research
","12216 029IND (1 - 12)Open6 / 30Sheetal SekhriTBATBA
"
1398," ECON 9999 Non-Topical Research
","12705 030IND (1 - 12)Open1 / 30Gaurab AryalTBATBA
"
1399," ECON 9999 Non-Topical Research
","12707 032IND (1 - 12)Open1 / 30Jonathan ColmerTBATBA
"
1400," ECON 9999 Non-Topical Research
","12708 033IND (1 - 12)Open3 / 30Kerem CosarTBATBA
"
1401," ECON 9999 Non-Topical Research
","12709 034IND (1 - 12)Open0 / 30Jae Won LeeTBATBA
"
1402," ECON 9999 Non-Topical Research
","12710 035IND (1 - 12)Open2 / 30Sandip SukhtankarTBATBA
"
1403," ENCW 2200 Introduction to Creative Nonfiction Writing
","19677 001WKS (3)Wait List (13 / 199) 12 / 12James LivingoodTuTh 11:00am - 12:15pmBryan Hall 233
"
1404," ENCW 2200 Introduction to Creative Nonfiction Writing
","20294 002WKS (3)Wait List (2 / 199) 13 / 14Anita KoesterMoWe 6:00pm - 7:15pmBryan Hall 330
"
1405," ENCW 2300 Poetry Writing
","10788 001WKS (3)Wait List (3 / 199) 15 / 15Aimee SeuMoWe 2:00pm - 3:15pmBryan Hall 334
"
1406," ENCW 2300 Poetry Writing
","10789 002WKS (3)Wait List (0 / 199) 15 / 15Michelle GottschlichMoWeFr 11:00am - 11:50amNew Cabell Hall 115
"
1407," ENCW 2300 Poetry Writing
","10790 003WKS (3)Wait List (2 / 199) 15 / 15Helena ChungMoWe 9:30am - 10:45amBryan Hall 233
"
1408," ENCW 2300 Poetry Writing
","10791 004WKS (3)Wait List (1 / 199) 15 / 15Mary Clare AgnewMoWeFr 10:00am - 10:50amBryan Hall 330
"
1409," ENCW 2300 Poetry Writing
","11147 005WKS (3)Open 9 / 15Elisabeth BlairMoWe 6:00pm - 7:15pmBryan Hall 203
"
1410," ENCW 2300 Poetry Writing
","13510 007WKS (3)Wait List (3 / 199) 15 / 15Andrew EatonTuTh 9:30am - 10:45amNew Cabell Hall 594
"
1411," ENCW 2300 Poetry Writing
","17751 008WKS (3)Wait List (0 / 199) 15 / 15Caleb NolenMoWe 3:30pm - 4:45pmBryan Hall 330
"
1412," ENCW 2600 Fiction Writing
","11145 003WKS (3)Wait List (5 / 199) 15 / 15Suzie EcklTuTh 5:00pm - 6:15pmBryan Hall 235
"
1413," ENCW 2600 Fiction Writing
","11146 004WKS (3)Wait List (5 / 199) 15 / 15Justin KeenanTuTh 9:30am - 10:45amBryan Hall 330
"
1414," ENCW 2600 Fiction Writing
","11449 005WKS (3)Wait List (5 / 199) 15 / 15Miriam GrossmanTuTh 5:00pm - 6:15pmBryan Hall 328
"
1415," ENCW 2600 Fiction Writing
","12310 006WKS (3)Open, WL (1 / 199) 14 / 15Cassie DaviesMoWeFr 1:00pm - 1:50pmBryan Hall 312
"
1416," ENCW 2600 Fiction Writing
","13187 007WKS (3)Wait List (4 / 199) 15 / 15Jessica WalkerMoWe 2:00pm - 3:15pmBryan Hall 332
"
1417," ENCW 2600 Fiction Writing
","17752 008WKS (3)Wait List (4 / 199) 15 / 15Fina MbabaziMoWeFr 11:00am - 11:50amBryan Hall 203
"
1418," ENCW 3310 Intermediate Poetry Writing I
","11871 001WKS (3)Permission 12 / 12Debra NystromTu 1:00pm - 3:30pmBryan Hall 233
"
