,Department,Course_Num,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Meeting_Time,Meeting_Dates,Professor
53,ANTH,2250,19176,104,Discussion,0,20,Bryan Hall 328, 9:00am - 9:50am,Fr,Gregory Flynn-Sollish
54,ANTH,2250,19177,105,Discussion,0,20,The Rotunda Room 152, 12:00pm - 12:50pm,Fr,Gregory Flynn-Sollish
55,ANTH,2250,19178,106,Discussion,0,20,Brooks Hall 103, 6:00pm - 6:50pm,Th,Rachel Apone
56,ANTH,2280,11318,100,Lecture,3,240,Wilson Hall 402, 10:00am - 10:50am,MoWe,Sylvia Tidey
57,ANTH,2280,19115,101,Discussion,0,20,Dell 2 102, 5:00pm - 5:50pm,Mo,Zach McKeeby
58,ANTH,2280,19116,102,Discussion,0,20,Brooks Hall 103, 7:00pm - 7:50pm,We,Richard Karl Deang
59,ANTH,2280,19117,103,Discussion,0,20,New Cabell Hall 283, 4:00pm - 4:50pm,Mo,Zach McKeeby
60,ANTH,2280,19118,104,Discussion,0,20,New Cabell Hall 383, 3:30pm - 4:20pm,Tu,Zach McKeeby
61,ANTH,2280,19121,105,Discussion,0,20,New Cabell Hall 191, 5:00pm - 5:50pm,Th,Soha Tariq
62,ANTH,2280,19122,106,Discussion,0,20,New Cabell Hall 485, 3:30pm - 4:20pm,Mo,Richard Karl Deang
63,ANTH,2280,19123,107,Discussion,0,20,New Cabell Hall 211, 3:30pm - 4:20pm,Th,Madeleine Jean
64,ANTH,2280,19124,108,Discussion,0,20,Brooks Hall 103, 1:00pm - 1:50pm,Mo,Madeleine Jean
65,ANTH,2280,19125,109,Discussion,0,20,Maury Hall 113, 12:00pm - 12:50pm,We,Richard Karl Deang
66,ANTH,2280,19126,110,Discussion,0,20,New Cabell Hall 115, 9:00am - 9:50am,Mo,Soha Tariq
67,ANTH,2280,19127,111,Discussion,0,20,The Rotunda Room 150, 10:00am - 10:50am,Fr,Soha Tariq
68,ANTH,2280,19128,112,Discussion,0,20,New Cabell Hall 485, 12:00pm - 12:50pm,We,Madeleine Jean
69,ANTH,2375,19168,100,Lecture,3,35,New Cabell Hall 168, 9:30am - 10:45am,TuTh,Saad Quasem
70,ANTH,2410,12541,100,Lecture,3,60,Maury Hall 115, 3:30pm - 4:20pm,MoWe,Daniel Lefkowitz
71,ANTH,2410,12542,101,Discussion,0,20,The Rotunda Room 152, 10:00am - 10:50am,Fr,Courtney Cox
72,ANTH,2410,12543,102,Discussion,0,20,The Rotunda Room 150, 11:00am - 11:50am,Fr,Courtney Cox
73,ANTH,2410,12544,103,Discussion,0,20,The Rotunda Room 152, 2:00pm - 2:50pm,Th,Courtney Cox
74,ANTH,2415,19160,100,Lecture,3,120,Minor Hall 125, 9:00am - 9:50am,MoWe,Mark Sicoli
75,ANTH,2415,19161,101,Discussion,0,20,New Cabell Hall 187, 9:00am - 9:50am,Fr,Miao Jiang
76,ANTH,2415,19162,102,Discussion,0,20,New Cabell Hall 207, 8:00am - 8:50am,Fr,Miao Jiang
77,ANTH,2415,19163,103,Discussion,0,20,Dell 2 101, 3:00pm - 3:50pm,We,Fiona Balestrieri
78,ANTH,2415,19164,104,Discussion,0,20,Dell 2 101, 4:00pm - 4:50pm,We,Fiona Balestrieri
79,ANTH,2415,19165,105,Discussion,0,20,Brooks Hall 103, 8:00am - 8:50am,Th,Fiona Balestrieri
80,ANTH,2415,19166,106,Discussion,0,20,Fayerweather Hall 215, 3:00pm - 3:50pm,Th,Miao Jiang
81,ANTH,2430,11992,100,Lecture,3,60,Dell 1 105, 8:00am - 8:50am,MoWe,Armik Mirzayan
82,ANTH,2430,11993,101,Discussion,0,20,Cocke Hall 101, 6:00pm - 6:50pm,We,Taylor Gilliam
83,ANTH,2430,11994,102,Discussion,0,20,New Cabell Hall 111, 7:00pm - 7:50pm,We,Taylor Gilliam
84,ANTH,2430,11995,103,Discussion,0,20,New Cabell Hall 207, 1:00pm - 1:50pm,Th,Taylor Gilliam
85,ANTH,2559,19624,001,Lecture,3,35,Dell 2 103, 2:00pm - 3:15pm,MoWe,Giancarlo Rolando Betancourt
86,ANTH,2559,19730,002,Lecture,3,60,McLeod Hall 2007, 3:30pm - 4:45pm,MoWe,Henry Skerritt
