,Department,Course_Num,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Meeting_Time,Meeting_Dates,Professor
862,CHEM,3420,10077,100,Lecture,3,120,Clark Hall 107, 12:00pm - 12:50pm,MoWeFr,Sergei Egorov
863,CHEM,3420,11989,101,Discussion,0,100,Physics Bldg 204, 6:00pm - 7:30pm,Mo,Staff
864,CHEM,3420,12096,201,Discussion,0,60,Dell 1 105, 6:00pm - 7:30pm,Tu,Staff
865,CHEM,3821,13447,001,Lecture,3,10,Dell 2 102, 1:00pm - 2:15pm,Fr,Brooks Pate
866,CHEM,3821,10078,003,Lecture,3,10,Dell 2 102, 1:00pm - 2:15pm,Fr,Brooks Pate
867,CHEM,3821,12327,004,Lecture,3,10,Dell 2 102, 1:00pm - 2:15pm,Fr,Brooks Pate
868,CHEM,3951,10080,001,IND,1 - 3,50,TBA,TBA,,Laura Serbulea
869,CHEM,3961,10081,001,IND,3,50,TBA,TBA,,Laura Serbulea
870,CHEM,3993,20591,001,IND,1 - 3,10,TBA,TBA,,Kateri DuBay
871,CHEM,4420,10082,001,Lecture,3,250,Maury Hall 209, 11:00am - 12:15pm,TuTh,James Landers
872,CHEM,4421,10084,100,Lecture,4,60,Monroe Hall 124, 1:00pm - 1:50pm,Mo,Carol Price
873,CHEM,4421,10085,101,Laboratory,0,18,Chemistry Bldg 424, 2:00pm - 6:00pm,Mo,Carol Price
874,CHEM,4421,10086,102,Laboratory,0,18,Chemistry Bldg 424, 2:00pm - 6:00pm,Tu,Carol Price
875,CHEM,4421,10083,103,Laboratory,0,18,Chemistry Bldg 424, 2:00pm - 6:00pm,We,Carol Price
876,CHEM,4421,12711,104,Laboratory,0,18,Chemistry Bldg 424, 2:00pm - 6:00pm,Th,Carol Price
877,CHEM,4559,17929,100,Lecture,4,12,Chemistry Bldg 458, 1:00pm - 1:50pm,Tu,Robert Gilliard
878,CHEM,4559,17931,102,Laboratory,0,12,Chemistry Bldg 458, 2:00pm - 5:00pm,Th,Robert Gilliard
879,CHEM,4951,10087,001,IND,3,30,TBA,TBA,,Laura Serbulea
880,CHEM,4961,10088,001,IND,3,30,TBA,TBA,,Laura Serbulea
881,CHEM,4971,12495,001,IND,3,10,TBA,TBA,,Laura Serbulea
882,CHEM,5120,11495,001,Lecture,3,25,Gilmer Hall 225, 9:00am - 9:50am,MoWeFr,Michael Hilinski
883,CHEM,5180,12662,001,Lecture,3,30,Dell 2 101, 2:00pm - 3:15pm,TuTh,Lin Pu
884,CHEM,5224,20232,001,Lecture,3,30,Dell 2 100, 11:00am - 12:15pm,Tu,Allan Harrison
885,CHEM,5250,11932,001,Lecture,3,30,Dell 2 100, 9:00am - 9:50am,MoWeFr,Eric Herbst
886,CHEM,5330,12663,001,Lecture,3,30,Dell 2 101, 9:30am - 10:45am,TuTh,Charles Machan
887,CHEM,5340,13448,001,Lecture,3,30,Dell 2 101, 11:00am - 12:15pm,TuTh,Sen Zhang
888,CHEM,5380,13533,001,Lecture,3,20,Clark Hall 101, 11:00am - 11:50am,MoWeFr,Diane Dickie
889,CHEM,5420,17932,001,Lecture,3,30,Dell 2 100, 11:00am - 11:50am,MoWeFr,David Cafiso
890,CHEM,5430,11991,001,Lecture,3,20,Physical & Life Sci Bldg Rm 20, 5:00pm - 6:15pm,TuTh,Andreas Gahlmann
891,CHEM,5720,17933,001,Lecture,3,30,Dell 2 101, 8:30am - 9:45am,MoWe,Rebecca Pompano
892,CHEM,7020,10089,001,Lecture,3,45,Gilmer Hall 141, 12:00pm - 12:50pm,MoWe,Jill Venton
893,CHEM,7021,12383,001,SEM,1,25,Ruffner Hall 177, 12:30pm - 1:45pm,Tu,Marlit Hayslett
894,CHEM,7021,19459,002,SEM,1,25,Ruffner Hall 177, 12:30pm - 1:45pm,Th,Marlit Hayslett
895,CHEM,8999,19509,002,IND,1 - 12,30,TBA,TBA,,Thomas Gunnoe
896,CHEM,9130,11892,001,IND,1 - 12,30,TBA,TBA,,Michael Hilinski
897,CHEM,9210,11753,001,IND,1 - 12,30,TBA,TBA,,Brooks Pate
898,CHEM,9220,11754,001,IND,1 - 12,30,TBA,TBA,,Kateri DuBay
899,CHEM,9230,17935,001,IND,1 - 12,30,TBA,TBA,,Sergei Egorov
900,CHEM,9240,12362,001,IND,1 - 12,30,TBA,TBA,,Kevin Lehmann
901,CHEM,9250,12363,001,IND,1 - 12,30,TBA,TBA,,Eric Herbst
902,CHEM,9260,12364,001,IND,1 - 12,30,TBA,TBA,,Rob Garrod
903,CHEM,9270,12365,001,IND,1 - 12,30,TBA,TBA,,Allan Harrison
904,CHEM,9280,13803,001,IND,1 - 12,30,TBA,TBA,,Ilse Cleeves
905,CHEM,9310,11755,001,IND,1 - 12,30,TBA,TBA,,Walter Harman
906,CHEM,9320,12366,001,IND,1 - 12,30,TBA,TBA,,Thomas Gunnoe
907,CHEM,9330,11756,001,IND,1 - 12,30,TBA,TBA,,Charles Machan
908,CHEM,9340,12328,001,IND,1 - 12,30,TBA,TBA,,Sen Zhang
909,CHEM,9350,12329,001,IND,1 - 12,30,TBA,TBA,,Cassandra Fraser
910,CHEM,9360,12367,001,IND,1 - 12,30,TBA,TBA,,Lin Pu
911,CHEM,9370,11752,001,IND,1 - 12,30,TBA,TBA,,Robert Gilliard
912,CHEM,9410,11757,001,IND,1 - 12,30,TBA,TBA,,David Cafiso
913,CHEM,9420,10091,001,IND,1 - 12,30,TBA,TBA,,John Bushweller
914,CHEM,9430,11758,001,IND,1 - 12,30,TBA,TBA,,Ku-Lung Hsu
915,CHEM,9440,17936,001,IND,1 - 12,30,TBA,TBA,,Cliff Stains
916,CHEM,9450,12368,001,IND,1 - 12,30,TBA,TBA,,Linda Columbus
917,CHEM,9460,17937,001,IND,1 - 12,30,TBA,TBA,,Marcos Pires
918,CHEM,9470,12664,001,IND,1 - 12,30,TBA,TBA,,Huiwang Ai
919,CHEM,9710,12369,001,IND,1 - 12,30,TBA,TBA,,Donald Hunt
920,CHEM,9720,11760,001,IND,1 - 12,30,TBA,TBA,,Rebecca Pompano
921,CHEM,9730,12370,001,IND,1 - 12,30,TBA,TBA,,James Landers
922,CHEM,9740,11761,001,IND,1 - 12,30,TBA,TBA,,Andreas Gahlmann
923,CHEM,9750,11759,001,IND,1 - 12,30,TBA,TBA,,Jill Venton
924,CHEM,9760,17938,001,IND,1 - 12,30,TBA,TBA,,Nathan Swami
925,CHEM,9810,20299,001,IND,1 - 12,30,TBA,TBA,,Marilyne Stains
926,CHEM,9999,19511,002,IND,1 - 12,30,TBA,TBA,,Thomas Gunnoe
927,CLAS,2020,11347,100,Lecture,3,80,Ruffner Hall G004, 12:30pm - 1:45pm,TuTh,Gregory Hays
928,CLAS,2020,11348,101,Discussion,0,20,Ruffner Hall 175, 10:00am - 10:50am,Fr,Matthew Pincus
929,CLAS,2020,11450,102,Discussion,0,20,Physics Bldg 218, 11:00am - 11:50am,Fr,Matthew Pincus
930,CLAS,2020,11349,103,Discussion,0,20,New Cabell Hall 407, 3:00pm - 3:50pm,Fr,Jovan Cvjeticanin
931,CLAS,2020,11350,104,Discussion,0,20,New Cabell Hall 338, 2:00pm - 2:50pm,Fr,Jovan Cvjeticanin
932,CLAS,2040,10101,100,Lecture,3,180,Maury Hall 209, 10:00am - 10:50am,MoWe,John Dillery
933,CLAS,2040,10102,101,Discussion,0,15,Gilmer Hall 225, 8:30am - 9:20am,Th,Evan Brubaker
934,CLAS,2040,10103,102,Discussion,0,15,Dell 1 104, 8:30am - 9:20am,Th,Harry Crusemire
935,CLAS,2040,10106,103,Discussion,0,15,Dell 1 104, 9:30am - 10:20am,Th,Harry Crusemire
936,CLAS,2040,10104,104,Discussion,0,15,Gilmer Hall 225, 9:30am - 10:20am,Th,Evan Brubaker
937,CLAS,2040,10105,105,Discussion,0,15,Shannon House 109, 2:00pm - 2:50pm,Th,Nina Raby
938,CLAS,2040,12349,106,Discussion,0,15,New Cabell Hall 042, 9:00am - 9:50am,Fr,Harry Crusemire
939,CLAS,2040,10610,107,Discussion,0,15,Physics Bldg 218, 9:00am - 9:50am,Fr,Nina Raby
940,CLAS,2040,11451,108,Discussion,0,15,Dell 2 100, 10:00am - 10:50am,Fr,Nina Raby
941,CLAS,2040,10611,109,Discussion,0,15,Cocke Hall 115, 12:00pm - 12:50pm,Fr,Evan Brubaker
942,CLAS,2040,18436,110,Discussion,0,15,New Cabell Hall 415, 1:00pm - 1:50pm,Fr,Joseph Zehner
943,CLAS,2040,18437,111,Discussion,0,15,Cocke Hall 101, 2:00pm - 2:50pm,Fr,Joseph Zehner
944,CLAS,2040,18438,112,Discussion,0,15,New Cabell Hall 287, 3:00pm - 3:50pm,Fr,Joseph Zehner
945,CLAS,2559,18439,001,Lecture,3,30,New Cabell Hall 383, 3:00pm - 3:50pm,MoWeFr,Inger Neeltje Irene Kuin
946,CLAS,3300,18449,001,Lecture,3,30,New Cabell Hall 485, 1:00pm - 1:50pm,MoWeFr,Coulter George
947,CLAS,3559,18450,001,Lecture,3,40,New Cabell Hall 232, 9:30am - 10:45am,TuTh,Ivana Petrovic
948,CLAS,5300,19540,001,Lecture,3,30,New Cabell Hall 485, 1:00pm - 1:50pm,MoWeFr,Coulter George
949,CLAS,9995,12856,001,SEM,3,10,TBA,TBA,,Ivana Petrovic
950,GREE,1020,10230,100,Lecture,4,40,New Cabell Hall 232, 10:00am - 10:50am,MoWeFr,Coulter George
951,GREE,1020,10231,101,Discussion,0,20,Brooks Hall 103, 9:30am - 10:45am,TuTh,Christina Boltsi
952,GREE,1020,10232,102,Discussion,0,20,Gilmer Hall 225, 12:30pm - 1:45pm,TuTh,Stephen Hill
953,GREE,2020,13211,001,Lecture,3,20,New Cabell Hall 111, 1:00pm - 1:50pm,MoWeFr,Andrej Petrovic
954,GREE,2230,13212,001,Lecture,3,20,New Cabell Hall 287, 10:00am - 10:50am,MoWeFr,Inger Neeltje Irene Kuin
955,GREE,3040,18452,001,Lecture,3,9,New Cabell Hall 042, 11:00am - 11:50am,MoWeFr,Andrej Petrovic
956,GREE,4999,12910,001,IND,3,20,TBA,TBA,,Anthony Corbeill
957,GREE,5559,18455,001,Lecture,3,15,Bryan Hall 334, 3:30pm - 4:45pm,MoWe,John Dillery
958,GREE,5559,18457,002,Lecture,3,10,Cocke Hall B014, 2:00pm - 3:15pm,TuTh,Ivana Petrovic
959,GREE,8998,10233,001,IND,1 - 12,10,TBA,TBA,,Ivana Petrovic
960,GREE,9998,10234,001,IND,1 - 12,10,TBA,TBA,,Ivana Petrovic
961,GREE,9999,20366,001,IND,1 - 12,10,TBA,TBA,,Coulter George
962,GREE,9999,11028,003,IND,1 - 12,10,TBA,TBA,,John Dillery
963,GREE,9999,12930,004,IND,1 - 12,10,TBA,TBA,,Ivana Petrovic
964,GREE,9999,13827,005,IND,1 - 12,10,TBA,TBA,,Andrej Petrovic
965,LATI,1020,10264,100,Lecture,4,60,Monroe Hall 130, 11:00am - 11:50am,MoWeFr,Anthony Corbeill
966,LATI,1020,10265,101,Discussion,0,9,Cocke Hall B014, 9:30am - 10:45am,TuTh,Alison Newman
967,LATI,1020,10266,102,Discussion,0,20,Dell 2 102, 11:00am - 12:15pm,TuTh,William Stover
968,LATI,1020,10267,103,Discussion,0,20,Maury Hall 110, 12:30pm - 1:45pm,TuTh,Michael Fons
969,LATI,1030,19788,001,Lecture,4,20,New Cabell Hall 287, 9:00am - 9:50am,MoWe,Peter Moench
970,LATI,2010,12201,001,Lecture,3,25,New Cabell Hall 395, 11:00am - 11:50am,MoWeFr,Inger Neeltje Irene Kuin
971,LATI,2010,13639,002,Lecture,3,25,Dell 2 103, 12:00pm - 12:50pm,MoWeFr,Brett Evans
972,LATI,2020,10268,001,Lecture,3,18,New Cabell Hall 207, 9:00am - 9:50am,MoWeFr,Giulio Celotto
973,LATI,2020,10269,002,Lecture,3,18,New Cabell Hall 315, 11:00am - 11:50am,MoWeFr,Giulio Celotto
974,LATI,2020,11885,003,Lecture,3,18,New Cabell Hall 383, 1:00pm - 1:50pm,MoWeFr,Holly Maggiore
975,LATI,3030,18460,001,Lecture,3,15,New Cabell Hall 183, 1:00pm - 1:50pm,MoWeFr,Anthony Corbeill
976,LATI,3559,18464,001,Lecture,3,15,Cocke Hall 101, 11:00am - 11:50am,MoWeFr,John Miller
977,LATI,3559,18466,002,Lecture,3,15,New Cabell Hall 283, 3:00pm - 3:50pm,MoWeFr,Giulio Celotto
978,LATI,4559,18467,001,Lecture,3,15,Cocke Hall 101, 2:00pm - 3:15pm,TuTh,Karen Myers
979,LATI,4993,20242,001,IND,1 - 3,30,TBA,TBA,,Anthony Corbeill
980,LATI,4999,13696,001,IND,3,10,TBA,TBA,,Anthony Corbeill
981,LATI,4999,19887,002,IND,3,30,TBA,TBA,,Karen Myers
982,LATI,5559,18470,001,Lecture,1 - 4,15,Cocke Hall 101, 2:00pm - 3:15pm,MoWe,John Miller
983,LATI,5559,18471,002,Lecture,1 - 4,15,Cocke Hall 101, 3:30pm - 4:45pm,TuTh,Gregory Hays
984,LATI,5993,19886,001,IND,3,30,TBA,TBA,,Giulio Celotto
985,LATI,8998,11583,001,IND,1 - 12,15,TBA,TBA,,Ivana Petrovic
986,LATI,9998,10270,001,IND,1 - 12,15,TBA,TBA,,John Miller
987,LATI,9999,10271,001,IND,1 - 12,15,TBA,TBA,,Bradford Hays
988,LATI,9999,11886,005,IND,1 - 12,15,TBA,TBA,,Karen Myers
989,LATI,9999,11887,006,IND,1 - 12,15,TBA,TBA,,John Miller
990,LATI,9999,12438,007,IND,1 - 12,15,TBA,TBA,,Coulter George
991,LATI,9999,13834,008,IND,1 - 12,15,TBA,TBA,,Anthony Corbeill
992,DANC,1559,19610,001,STO,1,20,Memorial Gymnasium 120-MP, 3:30pm - 4:45pm,TuTh,Kathryn Schetlick
993,DANC,2210,11717,001,STO,1,18,Memorial Gymnasium 120-MP, 2:00pm - 3:30pm,MoWe,Kathryn Schetlick
994,DANC,2430,12149,001,Laboratory,1,30,TBA,TBA,,Kim Mata
995,DANC,3220,10584,001,STO,1,18,Memorial Gymnasium 120-MP, 11:00am - 12:15pm,TuTh,Kim Mata
996,DANC,3300,10585,001,STO,2,10,Ruth Caplin Theatre, 3:30pm - 6:30pm,Tu,Kim Mata
997,DANC,3400,13370,001,SEM,3,20,a Education Bldg 206, 4:00pm - 5:15pmDram,MoWe,Kathryn Schetlick
998,DANC,3620,13681,001,STO,1 - 3,5,TBA,TBA,,Kim Mata
999,DANC,4993,12137,001,IND,1 - 3,6,TBA,TBA,,Kim Mata
1000,DRAM,1010,10107,001,Lecture,3,40,Ruth Caplin Theatre, 9:30am - 10:45am,TuTh,Cady Garey
1001,DRAM,1010,19512,002,Lecture,3,40,Ruth Caplin Theatre, 11:00am - 12:15pm,TuTh,Cady Garey
1002,DRAM,1020,12851,001,Lecture,3,16,a Education Bldg 115B, 11:00am - 12:15pmDram,MoWe,Priyanka Shetty
1003,DRAM,1020,13363,002,Lecture,3,16,a Education Bldg B006, 3:30pm - 4:45pmDram,TuTh,Cady Garey
1004,DRAM,1020,13770,003,Lecture,3,16,a Education Bldg B006, 2:00pm - 3:15pmDram,MoWe,Jennifer Wales
1005,DRAM,1020,19514,004,Lecture,3,16,a Education Bldg B006, 3:30pm - 4:45pmDram,MoWe,Mercedes Herrero
1006,DRAM,1020,19515,005,Lecture,3,16,a Education Bldg B006, 11:00am - 12:15pmDram,TuTh,Tovah Close
1007,DRAM,1220,19516,001,SEM,3,20,Helms Theatre, 11:00am - 12:15pm,TuTh,Jessica Burnam+1
1008,DRAM,2020,11709,001,SEM,3,14,a Education Bldg 115B, 2:00pm - 3:15pmDram,MoWe,Priyanka Shetty
1009,DRAM,2020,11710,002,SEM,3,14,a Education Bldg 115B, 3:30pm - 4:45pmDram,MoWe,Priyanka Shetty
1010,DRAM,2020,11877,003,SEM,3,14,a Education Bldg 115C, 2:00pm - 3:15pmDram,TuTh,Tovah Close
1011,DRAM,2020,11878,004,SEM,3,14,a Education Bldg 115C, 3:30pm - 4:45pmDram,MoWe,Tovah Close
1012,DRAM,2020,11879,005,SEM,3,14,a Education Bldg 115B, 2:00pm - 3:15pmDram,TuTh,Mercedes Herrero
1013,DRAM,2020,12345,006,SEM,3,14,a Education Bldg 115B, 3:30pm - 4:45pmDram,TuTh,Mercedes Herrero
1014,DRAM,2110,13364,001,Lecture,3,20,a Education Bldg 217, 11:00am - 12:15pmDram,TuTh,R. Kennedy
1015,DRAM,2130,19518,001,Laboratory,1,5,Culbreth Theatre, 2:00pm - 5:00pm,Mo,Lauren Duffie+1
1016,DRAM,2130,13365,002,Laboratory,1,5,a Education Bldg 220, 2:00pm - 5:00pmDram,Tu,Lauren Duffie+1
1017,DRAM,2130,19519,003,Laboratory,1,5,Culbreth Theatre, 2:00pm - 5:00pm,We,Justin Poruban+1
1018,DRAM,2130,13366,004,Laboratory,1,5,a Education Bldg 220, 2:00pm - 5:00pmDram,Th,Justin Poruban+1
1019,DRAM,2130,10109,005,Laboratory,1,5,TBA,TBA,,Julie Briski+1
1020,DRAM,2210,10110,001,Lecture,3,20,a Education Bldg 206, 11:00am - 11:50amDram,MoWeFr,Steven Warner
1021,DRAM,2230,19520,001,STO,1,5,a Education Bldg 114, 2:00pm - 5:00pmDram,Mo,Jessica Burnam+1
1022,DRAM,2230,19521,002,STO,1,5,a Education Bldg 114, 2:00pm - 5:00pmDram,Tu,Casey Horton+1
1023,DRAM,2230,19522,003,STO,1,5,a Education Bldg 114, 2:00pm - 5:00pmDram,We,James Nicholas+1
1024,DRAM,2230,19523,004,STO,1,5,a Education Bldg 114, 2:00pm - 5:00pmDram,Th,Steven Warner
1025,DRAM,2231,12783,001,Laboratory,1,15,TBA,TBA,,Holly McLeod
1026,DRAM,2232,12172,001,Laboratory,1,5,Contact Department, 2:00pm - 5:00pm,Mo,Batul Rizvi
1027,DRAM,2232,12879,002,Laboratory,1,5,Contact Department, 2:00pm - 5:00pm,Tu,Batul Rizvi
1028,DRAM,2232,12880,003,Laboratory,1,5,Contact Department, 2:00pm - 5:00pm,We,Batul Rizvi
1029,DRAM,2232,12881,004,Laboratory,1,5,Contact Department, 2:00pm - 5:00pm,Th,Batul Rizvi
1030,DRAM,2232,19707,005,Laboratory,1,5,TBA,TBA,,Batul Rizvi
1031,DRAM,2250,12171,001,Lecture,3,10,a Education Bldg 114, 9:30am - 10:45amDram,TuTh,Batul Rizvi
1032,DRAM,2310,10111,001,Lecture,3,15,a Education Bldg B011, 9:30am - 10:45amDram,TuTh,Marcy Linton
1033,DRAM,2330,10112,001,Laboratory,1,5,TBA,,Mo,Kathleen Stomps+1
1034,DRAM,2330,13367,002,Laboratory,1,5,a Education Bldg B011, 2:00pm - 5:00pmDram,Tu,Katherine Stefl+1
1035,DRAM,2330,10113,003,Laboratory,1,5,a Education Bldg B011, 2:00pm - 5:00pmDram,We,Kathleen Stomps+1
1036,DRAM,2330,13368,004,Laboratory,1,5,a Education Bldg B011, 2:00pm - 5:00pmDram,Th,Katherine Stefl+1
1037,DRAM,2330,10114,005,Laboratory,1,5,a Education Bldg B011, 2:00pm - 5:00pmDram,Fr,Cee-Cee Swalling+1
1038,DRAM,2330,13369,006,Laboratory,1,5,TBA, 2:00pm - 5:00pm,TBA,Cee-Cee Swalling+1
1039,DRAM,2430,11591,001,Laboratory,1 - 3,20,TBA,TBA,,Dave Dalton
1040,DRAM,2430,12867,003,Laboratory,1 - 3,20,TBA,TBA,,Marianne Kubik
1041,DRAM,2430,13362,004,Laboratory,1 - 3,20,TBA,TBA,,Doug Grissom
1042,DRAM,2620,10115,001,Lecture,3,12,a Education Bldg B010, 9:30am - 10:45amDram,TuTh,Michael Rasbury
1043,DRAM,2620,12102,002,Lecture,3,12,a Education Bldg B010, 11:00am - 12:15pmDram,TuTh,Michael Rasbury
1044,DRAM,2830,19524,001,Laboratory,1 - 3,5,TBA,TBA,,Eamonn Farrell
1045,DRAM,2840,13978,001,Laboratory,1 - 3,5,TBA,TBA,,Mona Kasra
1046,DRAM,3050,19525,001,Lecture,3,30,a Education Bldg 217, 9:30am - 10:45amDram,TuTh,Katelyn Wood
1047,DRAM,3070,19526,001,Lecture,3,30,a Education Bldg 217, 2:00pm - 3:15pmDram,TuTh,Theresa Davis
1048,DRAM,3080,11590,001,Lecture,3,30,a Education Bldg 217, 1:00pm - 1:50pmDram,MoWeFr,Doug Grissom
1049,DRAM,3410,19527,002,STO,3,12,a Education Bldg 115B, 12:30pm - 1:45pmDram,TuTh,Marianne Kubik
1050,DRAM,3450,12099,001,Lecture,3,16,a Education Bldg 115C, 9:30am - 10:45amDram,TuTh,Greg Harris
1051,DRAM,3651,11889,001,Lecture,3,15,a Education Bldg B006, 9:30am - 10:45amDram,TuTh,Dave Dalton
1052,DRAM,3651,13374,002,Lecture,3,15,a Education Bldg B006, 2:00pm - 3:15pmDram,TuTh,Dave Dalton
1053,DRAM,3653,12200,001,Laboratory,1 - 3,15,TBA,TBA,,Holly McLeod
1054,DRAM,3653,11742,002,Laboratory,1 - 3,15,TBA,TBA,,Holly McLeod
1055,DRAM,3820,13511,001,STO,3,12,a Education Bldg B010, 2:00pm - 3:15pmDram,TuTh,Eamonn Farrell
1056,DRAM,3825,19528,001,STO,3,12,a Education Bldg B010, 12:30pm - 1:45pmDram,TuTh,Eamonn Farrell
1057,DRAM,4410,13375,001,SEM,3,12,a Education Bldg 115C, 11:00am - 12:15pmDram,TuTh,Marianne Kubik
1058,DRAM,4590,13512,001,Laboratory,1 - 3,11,TBA,TBA,,Doug Grissom+1
1059,DRAM,4590,13513,002,Laboratory,1 - 3,30,TBA,TBA,,Theresa Davis
1060,DRAM,4593,19938,001,STO,1 - 3,15,TBA,TBA,,Dave Dalton
1061,DRAM,4596,12784,001,SEM,1 - 3,11,a Education Bldg 115C, 12:30pm - 1:45pmDram,TuTh,Paul Wagner
1062,DRAM,4596,19939,002,SEM,1 - 3,15,TBA,TBA,,Doug Grissom
1063,DRAM,4598,19529,001,Laboratory,1 - 3,5,TBA,TBA,,Steven Warner
1064,DRAM,4599,13372,001,WKS,1 - 3,20,a Education Bldg 206, 11:00am - 12:15pmDram,TuTh,Doug Grissom
1065,DRAM,4730,11442,001,SEM,3,20,a Education Bldg 206, 11:00am - 12:15pmDram,TuTh,Doug Grissom
1066,DRAM,4993,12361,001,IND,1 - 3,10,TBA,TBA,,Theresa Davis
1067,DRAM,4993,12136,002,IND,1 - 3,5,TBA,TBA,,Doug Grissom
1068,DRAM,4993,12152,003,IND,1 - 3,10,TBA,TBA,,Michael Rasbury
1069,DRAM,4993,12158,004,IND,1 - 3,5,TBA,TBA,,Steven Warner
1070,DRAM,4993,19883,005,IND,1 - 3,30,TBA,TBA,,R. Kennedy
1071,DRAM,4993,20539,010,IND,1 - 3,30,TBA,TBA,,Mona Kasra
1072,DRAM,4993,12858,013,IND,1 - 3,3,TBA,TBA,,Marcy Linton
1073,DRAM,4993,13682,014,IND,1 - 3,3,TBA,TBA,,Dave Dalton
1074,DRAM,7280,20388,001,Lecture,3,5,TBA,TBA,,Batul Rizvi
1075,DRAM,7620,19530,001,IND,3,5,TBA,TBA,,Michael Rasbury
1076,DRAM,7640,19531,001,STO,2 - 6,5,TBA,TBA,,Steven Warner
1077,DRAM,8680,19532,001,Lecture,3,3,TBA,,MoWeFr,Steven Warner
1078,DRAM,8993,12781,001,IND,1 - 12,5,TBA,TBA,,Doug Grissom
1079,DRAM,9060,13382,001,Discussion,3,5,TBA,TBA,,Marcy Linton
1080,DRAM,9060,13386,002,Discussion,3,8,TBA, 9:30am - 11:00am,MoWe,R. Kennedy
1081,DRAM,9140,19533,001,Laboratory,3,3,TBA,TBA,,R. Kennedy
1082,DRAM,9190,19534,001,IND,3 - 9,5,TBA,TBA,,R. Kennedy
1083,DRAM,9340,19535,001,Laboratory,3,3,TBA,TBA,,Marcy Linton
1084,DRAM,9370,19536,001,Lecture,3,3,a Education Bldg B011, 11:00am - 12:15pmDram,TuTh,Marcy Linton
1085,DRAM,9390,19537,001,IND,3 - 9,3,TBA,TBA,,Marcy Linton
1086,DRAM,9501,13377,001,STO,3,5,TBA,,MoWe,R. Kennedy
1087,DRAM,9501,13389,002,STO,3,8,TBA,,TuTh,Marcy Linton
1088,DRAM,9690,20429,002,IND,1 - 3,5,TBA,TBA,,Steven Warner
1089,CHIN,1010,12726,001,Lecture,4,20,Wilson Hall 244, 3:00pm - 3:50pm,MoTuWeThFr,Ziyi Geng
1090,CHIN,1020,19701,001,Lecture,4,15,Shea House 211, 1:00pm - 1:50pm,MoTuWeThFr,Ziyi Geng
1091,CHIN,1020,10093,002,Lecture,4,18,New Cabell Hall 191, 11:00am - 11:50am,MoTuWeThFr,Ying Gao
1092,CHIN,1020,10094,003,Lecture,4,18,New Cabell Hall 191, 10:00am - 10:50am,MoTuWeThFr,Ran Zhao
1093,CHIN,1020,10095,004,Lecture,4,18,New Cabell Hall 191, 12:00pm - 12:50pm,MoTuWeThFr,Ying Gao
1094,CHIN,1020,11949,005,Lecture,4,18,New Cabell Hall 191, 9:00am - 9:50am,MoTuWeThFr,Ran Zhao
1095,CHIN,2010,13218,001,Lecture,4,18,New Cabell Hall 056, 2:00pm - 2:50pm,MoTuWeThFr,Feng Gao
1096,CHIN,2010,20606,002,Lecture,4,12,New Cabell Hall 042, 1:00pm - 1:50pm,MoWeFr,Feng Gao
1097,CHIN,2020,10096,001,Lecture,4,15,New Cabell Hall 066, 1:00pm - 1:50pm,MoTuWeThFr,Shu-Chen Chen
1098,CHIN,2020,19687,002,Lecture,4,16,New Cabell Hall 044, 11:00am - 11:50am,MoTuWeThFr,Lizeng Huang
1099,CHIN,2020,11582,003,Lecture,4,15,New Cabell Hall 066, 2:00pm - 2:50pm,MoTuWeThFr,Lizeng Huang
1100,CHIN,2020,11720,004,Lecture,4,15,New Cabell Hall 411, 12:00pm - 12:50pm,MoTuWeThFr,Shu-Chen Chen
1101,CHIN,2060,10098,001,Lecture,4,20,New Cabell Hall 283, 9:00am - 9:50am,MoWeFr,Ying Gao
1102,CHIN,3010,17877,001,Lecture,3,15,Shea House 211, 2:00pm - 2:50pm,MoWeFr,Ziyi Geng
1103,CHIN,3020,12818,001,Lecture,3,15,New Cabell Hall 187, 11:00am - 11:50am,MoWeFr,Miao-Fen Tseng
1104,CHIN,3020,13219,002,Lecture,3,15,New Cabell Hall 068, 12:00pm - 12:50pm,MoWeFr,Lizeng Huang
1105,CHIN,3020,12153,003,Lecture,3,15,New Cabell Hall 187, 2:00pm - 2:50pm,MoWeFr,Shu-Chen Chen
1106,CHIN,3025,10099,001,Lecture,1,20,TBA,TBA,,Ying Gao
1107,CHIN,4020,12866,001,Lecture,3,12,New Cabell Hall 489, 11:00am - 11:50am,MoWeFr,Hsin Hsin Liang
1108,CHIN,4020,10100,002,Lecture,3,13,New Cabell Hall 044, 2:00pm - 2:50pm,MoWeFr,Hsin Hsin Liang
1109,CHIN,4030,11947,002,Lecture,3,12,New Cabell Hall 044, 1:00pm - 1:50pm,MoWeFr,Hsin Hsin Liang
1110,CHIN,4993,20052,009,IND,3,5,TBA,TBA,,Anne Kinney
1111,CHTR,3010,17896,001,Lecture,3,28,Nau Hall 141, 12:30pm - 1:45pm,TuTh,Anne Kinney
1112,CHTR,3020,13222,001,Lecture,3,28,Maury Hall 113, 11:00am - 12:15pm,TuTh,Miyabi Goto
1113,CHTR,4991,12147,001,SEM,1,10,TBA,TBA,,Anne Kinney
1114,CHTR,5010,17897,001,Lecture,3,28,Nau Hall 141, 12:30pm - 1:45pm,TuTh,Anne Kinney
