,Department,Course_Num,Course_Name,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Professor,Start_Time,End_Time,Date_Nums,Lecture_Num
48,ANTH,3020,Using Anthropology,19134,101,Discussion,0,20,Brooks Hall 103,Shane Weitzman,900,950,5,39
49,ANTH,3020,Using Anthropology,19135,102,Discussion,0,20,The Rotunda Room 152,Shane Weitzman,1100,1150,5,39
50,ANTH,3020,Using Anthropology,19136,103,Discussion,0,20,New Cabell Hall 268,Shane Weitzman,1500,1550,4,39
51,ANTH,3240,The Anthropology of Food,19157,101,Discussion,0,20,Gibson Hall 241,Jeffrey Attridge,1500,1550,4,40
52,ANTH,3240,The Anthropology of Food,19158,102,Discussion,0,20,Brooks Hall 103,Jeffrey Attridge,800,850,5,40
53,ANTH,3240,The Anthropology of Food,19159,103,Discussion,0,20,New Cabell Hall 332,Jeffrey Attridge,1000,1050,5,40
54,ANTH,3470,Language and Culture in the Middle East,19393,101,Discussion,0,20,Brooks Hall 103,Tirajeh Tahvildar Akbari,1700,1750,3,43
55,ANTH,3470,Language and Culture in the Middle East,19394,102,Discussion,0,20,Brooks Hall 103,Tirajeh Tahvildar Akbari,1700,1750,4,43
56,ANTH,3470,Language and Culture in the Middle East,19395,103,Discussion,0,20,Brooks Hall 103,Tirajeh Tahvildar Akbari,1300,1350,5,43
57,ANTH,3490,Language and Thought,19152,101,Discussion,0,20,The Rotunda Room 152,Colleen Winkelman,1000,1050,1,44
58,ANTH,3490,Language and Thought,19153,102,Discussion,0,20,New Cabell Hall 115,Colleen Winkelman,1100,1150,2,44
59,ANTH,3490,Language and Thought,19154,103,Discussion,0,20,New Cabell Hall 111,Colleen Winkelman,1700,1750,1,44
60,ANTH,7470,Language and Culture in the Middle East,19747,101,Discussion,0,5,Monroe Hall 113,Daniel Lefkowitz,1100,1150,5,67
61,ARTH,1505,Art and the Modern World,12041,101,Discussion,0,15,Fayerweather Hall 215,Cho Wun Ma,1600,1650,4,281
62,ARTH,1505,Art and the Modern World,12042,102,Discussion,0,15,Fayerweather Hall 206,Cho Wun Ma,1700,1750,2,281
63,ARTH,1505,Art and the Modern World,12043,103,Discussion,0,15,Fayerweather Hall 208,Cho Wun Ma,1700,1750,4,281
64,ARTH,1505,Art and the Modern World,12044,104,Discussion,0,15,Fayerweather Hall 215,Maria Cornejo,900,950,2,281
65,ARTH,1505,Art and the Modern World,12045,105,Discussion,0,15,Fayerweather Hall 215,Maria Cornejo,1000,1050,2,281
66,ARTH,1505,Art and the Modern World,12046,106,Discussion,0,15,Fayerweather Hall 215,Maria Cornejo,1200,1250,2,281
67,ARTH,1507,Art and Global Cultures,18691,101,Discussion,0,15,Fayerweather Hall 206,Kelvin Parnell,1000,1050,4,282
68,ARTH,1507,Art and Global Cultures,18692,102,Discussion,0,15,Fayerweather Hall 215,Kelvin Parnell,1100,1150,2,282
69,ARTH,1507,Art and Global Cultures,18693,103,Discussion,0,15,Fayerweather Hall 215,Kelvin Parnell,1400,1450,4,282
70,ARTH,2451,"Modern Art, 1900-1945",18792,101,Discussion,0,20,Fayerweather Hall 206,Lucia Colombari,1000,1050,2,287
71,ARTH,2451,"Modern Art, 1900-1945",18793,102,Discussion,0,20,New Cabell Hall 191,Lucia Colombari,1700,1750,2,287
72,ARTH,2451,"Modern Art, 1900-1945",18794,103,Discussion,0,15,Fayerweather Hall 206,Lucia Colombari,900,950,2,287
73,ARTH,2752,"America! Art, Identity, Politics",18797,101,Discussion,0,20,Fayerweather Hall 206,Meaghan Walsh,1000,1050,1,290
74,ARTH,2752,"America! Art, Identity, Politics",18798,102,Discussion,0,20,Fayerweather Hall 206,Meaghan Walsh,1100,1150,1,290
