,Department,Course_Num,Course_Name,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Professor,Start_Time,End_Time,Date_Nums,Discussion_Lab_Nums
27,SWAH,2020,Intermediate Swahili II,12397,1,SEM,3,16,Brooks Hall 103,Anne Rotich,1200,1250,"1, 3, 5",None
28,ANTH,1010,Introduction to Anthropology,10009,100,Lecture,3,60,Maury Hall 104,Giancarlo Rolando Betancourt,800,850,"1, 3","9, 10, 11"
29,ANTH,1010,Introduction to Anthropology,19106,200,Lecture,3,60,Maury Hall 104,Alison Broach,1200,1250,"1, 3","12, 13, 14"
30,ANTH,1010,Introduction to Anthropology,19110,300,Lecture,3,60,McLeod Hall 2005,Lorraine Mills,1530,1620,"1, 3","15, 16, 17"
31,ANTH,2250,"Nationalism, Racism, Multiculturalism",19172,100,Lecture,3,120,Wilson Hall 301,Richard Handler,1600,1650,"1, 3","18, 19, 20, 21, 22, 23"
32,ANTH,2280,Medical Anthropology,11318,100,Lecture,3,240,Wilson Hall 402,Sylvia Tidey,1000,1050,"1, 3","24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35"
33,ANTH,2375,Disaster,19168,100,Lecture,3,35,New Cabell Hall 168,Saad Quasem,930,1045,"2, 4",None
34,ANTH,2410,Sociolinguistics,12541,100,Lecture,3,60,Maury Hall 115,Daniel Lefkowitz,1530,1620,"1, 3","36, 37, 38"
35,ANTH,2415,Language in Human Evolution,19160,100,Lecture,3,120,Minor Hall 125,Mark Sicoli,900,950,"1, 3","39, 40, 41, 42, 43, 44"
36,ANTH,2430,Languages of the World,11992,100,Lecture,3,60,Dell 1 105,Armik Mirzayan,800,850,"1, 3","45, 46, 47"
37,ANTH,2559,New Course in Anthropology,19624,1,Lecture,3,35,Dell 2 103,Giancarlo Rolando Betancourt,1400,1515,"1, 3",None
38,ANTH,2559,New Course in Anthropology,19730,2,Lecture,3,60,McLeod Hall 2007,Henry Skerritt,1530,1645,"1, 3",None
39,ANTH,3020,Using Anthropology,12436,100,Lecture,3,60,Maury Hall 104,Aidan Seale-Feldman,900,950,"1, 3","48, 49, 50"
40,ANTH,3240,The Anthropology of Food,19156,100,Lecture,3,60,Ruffner Hall G004,Kasey Jernigan,1000,1050,"1, 3","51, 52, 53"
41,ANTH,3290,Biopolitics and the Contemporary Condition,13117,1,Lecture,3,30,New Cabell Hall 383,Jarrett Zigon,1530,1800,4,None
42,ANTH,3390,"Pregnancy, Birthing and the Post-Partum",19771,1,Lecture,3,60,Maury Hall 104,Gertrude Fraser,1530,1645,"2, 4",None
43,ANTH,3470,Language and Culture in the Middle East,19171,100,Lecture,3,65,Claude Moore Nursing Educ G120,Daniel Lefkowitz,1100,1150,"1, 3","54, 55, 56"
44,ANTH,3490,Language and Thought,19151,100,Lecture,3,60,Maury Hall 115,Eve Danziger,1000,1050,"3, 5","57, 58, 59"
45,ANTH,3559,New Course in Anthropology,19155,1,Lecture,3,20,Brooks Hall 103,Lise Dobrin,1400,1630,2,None
46,ANTH,3589,Topics in Archaeology,19167,100,Lecture,3,35,Clinical Department Wing 2677,Julia Haines,930,1045,"2, 4",None
47,ANTH,3590,Social and Cultural Anthropology,13541,1,Lecture,3,30,New Cabell Hall 332,Aidan Seale-Feldman,1530,1800,3,None
48,ANTH,3590,Social and Cultural Anthropology,13544,2,Lecture,3,8,Fayerweather Hall 208,Adriana Greci Green,1300,1530,2,None
49,ANTH,3590,Social and Cultural Anthropology,19377,4,Lecture,3,35,New Cabell Hall 032,Mingyun Zhang,1530,1645,"2, 4",None
50,ANTH,3885,Archaeology of Europe,19169,100,Lecture,3,45,Clinical Department Wing 2677,Adria LaViolette,1230,1345,"2, 4",None
51,ANTH,4591,Majors Seminar,11651,1,SEM,3,15,New Cabell Hall 042,Bremen Donovan,1400,1515,"2, 4",None
52,ANTH,4591,Majors Seminar,12300,2,SEM,3,18,The Rotunda Room 150,Alison Broach,1400,1515,"1, 3",None
53,ANTH,4993,Independent Study in Anthropology,11437,11,IND,1,5,TBA,Frederick Damon,TBA,TBA,TBA,None
54,ANTH,4993,Independent Study in Anthropology,13683,30,IND,1,30,TBA,Adria LaViolette,TBA,TBA,TBA,None
55,ANTH,4993,Independent Study in Anthropology,20805,31,IND,1,5,TBA,Mark Sicoli,TBA,TBA,TBA,None
56,ANTH,4999,Distinguished Majors Thesis Writing,13920,1,IND,3,30,TBA,Ira Bashkow,TBA,TBA,TBA,None
57,ANTH,4999,Distinguished Majors Thesis Writing,11972,25,IND,3,30,TBA,China Scherz,TBA,TBA,TBA,None
58,ANTH,5360,World Mental Health,11401,1,Lecture,3,20,Clark Hall 102,Richard Merkel,1830,2100,3,None
59,ANTH,5401,Linguistic Field Methods,11652,1,Lecture,3,16,Brooks Hall 103,Armik Mirzayan,1700,1930,1,None
60,ANTH,5410,Phonology,19671,1,Lecture,3,20,New Cabell Hall 303,Armik Mirzayan,1530,1645,"2, 4",None
61,ANTH,5425,Language Contact,19182,1,Lecture,3,20,Brooks Hall B004,Mark Sicoli,1400,1630,3,None
62,ANTH,5465,Language and the Culture of Preservation,19181,1,SEM,3,18,Fayerweather Hall 215,Lise Dobrin,1700,1930,4,None
63,ANTH,5589,Selected Topics in Archaeology,19183,1,Lecture,3,15,New Cabell Hall 056,Adria LaViolette,1700,1930,2,None
64,ANTH,5590,Topics in Social and Cultural Anthropology,19690,1,SEM,3,18,New Cabell Hall 594,Gertrude Fraser,1700,1930,3,None
65,ANTH,7020,Contemporary Anthropological Theory,10010,1,SEM,3,15,Ruffner Hall 123,China Scherz,1400,1630,1,None
66,ANTH,7040,Ethnographic Research Design and Methods,19648,1,SEM,3,20,New Cabell Hall 338,Ira Bashkow,1400,1515,"2, 4",None
67,ANTH,7470,Language and Culture in the Middle East,19184,100,Lecture,3,65,Claude Moore Nursing Educ G120,Daniel Lefkowitz,1100,1150,"1, 3",60
68,ANTH,7590,Topics in Social and Cultural Anthropology,19692,1,SEM,3,9,Brooks Hall 311,Peter Metcalf,1230,1345,"1, 3",None
69,ANTH,8998,"Non-Topical Research, Preparation for Research",10011,1,IND,1,50,TBA,Ira Bashkow+1,TBA,TBA,TBA,None
70,ANTH,8998,"Non-Topical Research, Preparation for Research",20782,2,IND,1,30,TBA,Mark Sicoli,TBA,TBA,TBA,None
71,ANTH,8998,"Non-Topical Research, Preparation for Research",11261,4,IND,1,30,TBA,Frederick Damon,TBA,TBA,TBA,None
72,ANTH,8998,"Non-Topical Research, Preparation for Research",11262,5,IND,1,30,TBA,Eve Danziger,TBA,TBA,TBA,None
73,ANTH,8998,"Non-Topical Research, Preparation for Research",11263,6,IND,1,30,TBA,Lise Dobrin,TBA,TBA,TBA,None
74,ANTH,8998,"Non-Topical Research, Preparation for Research",11265,8,IND,1,30,TBA,Gertrude Fraser,TBA,TBA,TBA,None
75,ANTH,8998,"Non-Topical Research, Preparation for Research",11266,9,IND,1,30,TBA,Richard Handler,TBA,TBA,TBA,None
76,ANTH,8998,"Non-Topical Research, Preparation for Research",11269,12,IND,1,30,TBA,Adria LaViolette,TBA,TBA,TBA,None
77,ANTH,8998,"Non-Topical Research, Preparation for Research",11270,13,IND,1,30,TBA,Daniel Lefkowitz,TBA,TBA,TBA,None
78,ANTH,8998,"Non-Topical Research, Preparation for Research",11271,16,IND,1,30,TBA,George Mentore,TBA,TBA,TBA,None
79,ANTH,8998,"Non-Topical Research, Preparation for Research",11272,17,IND,1,30,TBA,Rachel Most,TBA,TBA,TBA,None
80,ANTH,8998,"Non-Topical Research, Preparation for Research",11275,23,IND,1,30,TBA,Patricia Wattenmaker,TBA,TBA,TBA,None
81,ANTH,8998,"Non-Topical Research, Preparation for Research",11276,24,IND,1,30,TBA,Kath Weston,TBA,TBA,TBA,None
82,ANTH,8998,"Non-Topical Research, Preparation for Research",11957,26,IND,1,30,TBA,Jim Igoe,TBA,TBA,TBA,None
83,ANTH,8998,"Non-Topical Research, Preparation for Research",11958,27,IND,1,30,TBA,Fraser Neiman,TBA,TBA,TBA,None
84,ANTH,8998,"Non-Topical Research, Preparation for Research",11959,28,IND,1,30,TBA,China Scherz,TBA,TBA,TBA,None
85,ANTH,8998,"Non-Topical Research, Preparation for Research",11960,29,IND,1,30,TBA,Margo Smith,TBA,TBA,TBA,None
86,ANTH,8999,Non-Topical Research,11244,4,IND,1,30,TBA,Frederick Damon,TBA,TBA,TBA,None
87,ANTH,8999,Non-Topical Research,11245,5,IND,1,30,TBA,Eve Danziger,TBA,TBA,TBA,None
88,ANTH,8999,Non-Topical Research,11246,6,IND,1,30,TBA,Lise Dobrin,TBA,TBA,TBA,None
89,ANTH,8999,Non-Topical Research,11248,8,IND,1,30,TBA,Gertrude Fraser,TBA,TBA,TBA,None
90,ANTH,8999,Non-Topical Research,11249,9,IND,1,30,TBA,Richard Handler,TBA,TBA,TBA,None
91,ANTH,8999,Non-Topical Research,11252,12,IND,1,30,TBA,Adria LaViolette,TBA,TBA,TBA,None
92,ANTH,8999,Non-Topical Research,11253,13,IND,1,30,TBA,Daniel Lefkowitz,TBA,TBA,TBA,None
93,ANTH,8999,Non-Topical Research,11254,16,IND,1,30,TBA,George Mentore,TBA,TBA,TBA,None
94,ANTH,8999,Non-Topical Research,11255,17,IND,1,30,TBA,Rachel Most,TBA,TBA,TBA,None
95,ANTH,8999,Non-Topical Research,11257,20,IND,1,30,TBA,John Shepherd,TBA,TBA,TBA,None
96,ANTH,8999,Non-Topical Research,11258,23,IND,1,30,TBA,Patricia Wattenmaker,TBA,TBA,TBA,None
97,ANTH,8999,Non-Topical Research,11259,24,IND,1,30,TBA,Kath Weston,TBA,TBA,TBA,None
